6FMP;C;KEAP1_HUMAN
6QWN;F, G, H, I, J;PLRX1_ARATH
4D2D;B;Q5M4H8_STRT2
6QXP;I, J, K, L, M, N, O, P;LRX2_ARATH
2OBH;C,D;CETN2_HUMAN
1YK1;E;ANPRC_HUMAN
3KD7;G, H, I, J, K;
1YC5;B;NPD_THEMA
2H4F;D;NPD_THEMA
6F0Y;B;ASF1_YEAST
5OJ5;B;YC48L_THEEB
5OJR;E, F;YC48L_THEEB
2QBX;D, P;EPHB2_HUMAN
5D0J;L, M;GRB7_HUMAN
3FBR;B;
3JR3;D;NPD_THEMA
3SVM;P;MPP8_HUMAN
4Z5W;P, Q;PSKR1_DAUCA
5E1D;D, E;NTM1A_HUMAN
6Q1U;C,D;PLMN_HUMAN
6WZZ;B;GID4_HUMAN
1A1R;C,D;POLG_HCVH
1EJH;E, F, G, H;IF4E_MOUSE
1BZH;I, J, K, L, M, N, O, P;PTN1_HUMAN
1AQC;C,D;APBA1_HUMAN
6TWQ;C,D;ANXA2_HUMAN
1YTJ;I;POL_SIVM1
1YTH;I;POL_HV1A2
1YTG;I;POL_HV1A2
6CD9;B;GID4_HUMAN
6C4U;G, H, I, J, K, L;RAD53_YEAST
5H6Y;B;BPTF_HUMAN
5I3L;C;DPF3_HUMAN
6SEO;L;TEAD4_HUMAN
6SEN;L, M;TEAD4_HUMAN
2ITK;B;PIN1_HUMAN
2Q5A;B;PIN1_HUMAN
3UKW;C;IMA1_MOUSE
3UKX;C;IMA1_MOUSE
2VAY;B;CALM1_HUMAN
5UW3;E, F, G, H;R4P353_9CARY
5U1Q;L, M, N, P;GRB7_HUMAN
4ZRT;B;PTN1_HUMAN
5EEL;L, M, N, P, Q, R;GRB7_HUMAN
5W4E;A, D;A0A2R2JFW7_9BASI
4NY3;C,D;PTPA_HUMAN
4AKT;C;Q52QJ1_PRODI
5XWR;C,D;RBBP4_HUMAN
2H4H;B;NPD_THEMA
3AGY;C, D, F;DNJB1_HUMAN
3AGZ;C, D, E, F;DNJB1_HUMAN
3TWS;E, F, G, H;TNKS2_HUMAN
3TWT;E, F, G, H;TNKS2_HUMAN
3TWV;E, F, G, H;TNKS2_HUMAN
4DRW;E, F;S10AA_HUMAN
1EJ4;B;IF4E_MOUSE
